"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"04/16/2024,""953.00"",""953.00"",""953.00"",""953.00"","""",""-0.62%"""
"04/15/2024,""958.97"",""958.97"",""958.97"",""958.97"","""",""-0.36%"""
"04/12/2024,""962.48"",""962.48"",""962.48"",""962.48"","""",""0.57%"""
"04/11/2024,""957.04"",""957.04"",""957.04"",""957.04"","""",""-0.68%"""
"04/10/2024,""963.60"",""963.60"",""963.60"",""963.60"","""",""-0.15%"""
"04/09/2024,""965.01"",""965.01"",""965.01"",""965.01"","""",""0.47%"""
"04/08/2024,""960.45"",""960.45"",""960.45"",""960.45"","""",""0.74%"""
"04/05/2024,""953.44"",""953.44"",""953.44"",""953.44"","""",""0.32%"""
"04/04/2024,""950.38"",""950.38"",""950.38"",""950.38"","""",""-0.19%"""
"04/03/2024,""952.23"",""952.23"",""952.23"",""952.23"","""",""0.34%"""
"04/02/2024,""948.97"",""948.97"",""948.97"",""948.97"","""",""0.01%"""
"03/28/2024,""948.85"",""948.85"",""948.85"",""948.85"","""",""0.06%"""
"03/27/2024,""948.25"",""948.25"",""948.25"",""948.25"","""",""0.12%"""
"03/26/2024,""947.07"",""947.07"",""947.07"",""947.07"","""",""0.02%"""
"03/25/2024,""946.91"",""946.91"",""946.91"",""946.91"","""",""0.13%"""
"03/22/2024,""945.66"",""945.66"",""945.66"",""945.66"","""",""-0.62%"""
"03/21/2024,""951.53"",""951.53"",""951.53"",""951.53"","""",""0.08%"""
"03/20/2024,""950.74"",""950.74"",""950.74"",""950.74"","""",""-0.14%"""
"03/19/2024,""952.11"",""952.11"",""952.11"",""952.11"","""",""-0.08%"""
"03/18/2024,""952.83"",""952.83"",""952.83"",""952.83"","""",""-0.07%"""
"03/15/2024,""953.49"",""953.49"",""953.49"",""953.49"","""",""0.05%"""
"03/14/2024,""952.98"",""952.98"",""952.98"",""952.98"","""",""-0.08%"""
"03/13/2024,""953.73"",""953.73"",""953.73"",""953.73"","""",""0.08%"""
"03/12/2024,""952.99"",""952.99"",""952.99"",""952.99"","""",""-0.38%"""
"03/08/2024,""956.64"",""956.64"",""956.64"",""956.64"","""",""0.27%"""
"03/07/2024,""954.08"",""954.08"",""954.08"",""954.08"","""",""0.06%"""
"03/06/2024,""953.48"",""953.48"",""953.48"",""953.48"","""",""0.05%"""
"03/05/2024,""952.97"",""952.97"",""952.97"",""952.97"","""",""0.00%"""
"03/04/2024,""952.93"",""952.93"",""952.93"",""952.93"","""",""-0.49%"""
"03/01/2024,""957.62"",""957.62"",""957.62"",""957.62"","""",""-0.01%"""
"02/29/2024,""957.70"",""957.70"",""957.70"",""957.70"","""",""-0.40%"""
"02/28/2024,""961.50"",""961.50"",""961.50"",""961.50"","""",""0.73%"""
"02/27/2024,""954.57"",""954.57"",""954.57"",""954.57"","""",""0.28%"""
"02/26/2024,""951.86"",""951.86"",""951.86"",""951.86"","""",""-0.20%"""
"02/23/2024,""953.80"",""953.80"",""953.80"",""953.80"","""",""-0.04%"""
"02/22/2024,""954.19"",""954.19"",""954.19"",""954.19"","""",""-0.03%"""
"02/21/2024,""954.48"",""954.48"",""954.48"",""954.48"","""",""0.13%"""
"02/20/2024,""953.20"",""953.20"",""953.20"",""953.20"","""",""-0.41%"""
"02/19/2024,""957.08"",""957.08"",""957.08"",""957.08"","""",""-0.49%"""
"02/15/2024,""961.82"",""961.82"",""961.82"",""961.82"","""",""-0.11%"""
"02/14/2024,""962.86"",""962.86"",""962.86"",""962.86"","""",""-0.07%"""
"02/13/2024,""963.50"",""963.50"",""963.50"",""963.50"","""",""-0.17%"""
