Date,Open,High,Low,Close,Volume
2018-12-28,10000,10000,10000,10000,0
2019-01-02,10105.16,10105.16,10105.16,10105.16,0
2019-01-03,9901.62,9901.62,9901.62,9901.62,0
2019-01-04,10042.75,10042.75,10042.75,10042.75,0
2019-01-07,10221.47,10221.47,10221.47,10221.47,0
2019-01-08,10209.45,10209.45,10209.45,10209.45,0
2019-01-09,10281.4,10281.4,10281.4,10281.4,0
2019-01-10,10258.17,10258.17,10258.17,10258.17,0
2019-01-11,10278.43,10278.43,10278.43,10278.43,0
2019-01-14,10232.01,10232.01,10232.01,10232.01,0
2019-01-15,10289.02,10289.02,10289.02,10289.02,0
2019-01-16,10390.47,10390.47,10390.47,10390.47,0
2019-01-17,10375.77,10375.77,10375.77,10375.77,0
2019-01-18,10450.85,10450.85,10450.85,10450.85,0
2019-01-21,10370.38,10370.38,10370.38,10370.38,0
2019-01-22,10349.43,10349.43,10349.43,10349.43,0
2019-01-23,10549.28,10549.28,10549.28,10549.28,0
2019-01-24,10558.53,10558.53,10558.53,10558.53,0
2019-01-25,10526.05,10526.05,10526.05,10526.05,0
2019-01-28,10429.47,10429.47,10429.47,10429.47,0
2019-01-29,10429,10429,10429,10429,0
2019-01-30,10343.05,10343.05,10343.05,10343.05,0
2019-01-31,10447.82,10447.82,10447.82,10447.82,0
2019-02-01,10496.59,10496.59,10496.59,10496.59,0
2019-02-04,10485.43,10485.43,10485.43,10485.43,0
2019-02-05,10575.6,10575.6,10575.6,10575.6,0
2019-02-06,10606.61,10606.61,10606.61,10606.61,0
2019-02-07,10444.04,10444.04,10444.04,10444.04,0
2019-02-08,10415.34,10415.34,10415.34,10415.34,0
2019-02-11,10399.59,10399.59,10399.59,10399.59,0
2019-02-12,10452.87,10452.87,10452.87,10452.87,0
2019-02-13,10343.12,10343.12,10343.12,10343.12,0
2019-02-14,10226.44,10226.44,10226.44,10226.44,0
2019-02-15,10306.81,10306.81,10306.81,10306.81,0
2019-02-18,10272.06,10272.06,10272.06,10272.06,0
2019-02-19,10254.58,10254.58,10254.58,10254.58,0
2019-02-20,10411.74,10411.74,10411.74,10411.74,0
2019-02-21,10330.09,10330.09,10330.09,10330.09,0
2019-02-22,10394.39,10394.39,10394.39,10394.39,0
2019-02-25,10480.5,10480.5,10480.5,10480.5,0
2019-02-26,10449.79,10449.79,10449.79,10449.79,0
2019-02-27,10339.67,10339.67,10339.67,10339.67,0
2019-02-28,10321.72,10321.72,10321.72,10321.72,0
2019-03-01,10360.7,10360.7,10360.7,10360.7,0
2019-03-04,10329.52,10329.52,10329.52,10329.52,0
2019-03-05,10300.17,10300.17,10300.17,10300.17,0
2019-03-06,10344.69,10344.69,10344.69,10344.69,0
2019-03-07,10283.39,10283.39,10283.39,10283.39,0
2019-03-08,10233.98,10233.98,10233.98,10233.98,0
2019-03-11,10244.24,10244.24,10244.24,10244.24,0
2019-03-12,10286.27,10286.27,10286.27,10286.27,0
2019-03-13,10340.62,10340.62,10340.62,10340.62,0
2019-03-14,10359.82,10359.82,10359.82,10359.82,0
2019-03-15,10500.99,10500.99,10500.99,10500.99,0
2019-03-18,10506.06,10506.06,10506.06,10506.06,0
2019-03-19,10521.92,10521.92,10521.92,10521.92,0
2019-03-20,10521.7,10521.7,10521.7,10521.7,0
2019-03-21,10550.32,10550.32,10550.32,10550.32,0
2019-03-22,10392.42,10392.42,10392.42,10392.42,0
2019-03-25,10334.85,10334.85,10334.85,10334.85,0
2019-03-26,10382.95,10382.95,10382.95,10382.95,0
2019-03-27,10349.19,10349.19,10349.19,10349.19,0
2019-03-28,10331.31,10331.31,10331.31,10331.31,0
2019-03-29,10319.97,10319.97,10319.97,10319.97,0
2019-04-01,10428.89,10428.89,10428.89,10428.89,0
2019-04-02,10581.92,10581.92,10581.92,10581.92,0
2019-04-03,10733.11,10733.11,10733.11,10733.11,0
2019-04-04,10657.98,10657.98,10657.98,10657.98,0
2019-04-05,10517.67,10517.67,10517.67,10517.67,0
2019-04-08,10544.85,10544.85,10544.85,10544.85,0
2019-04-09,10583.74,10583.74,10583.74,10583.74,0
2019-04-10,10673.1,10673.1,10673.1,10673.1,0
2019-04-11,10600.81,10600.81,10600.81,10600.81,0
2019-04-12,10556.77,10556.77,10556.77,10556.77,0
2019-04-15,10530.38,10530.38,10530.38,10530.38,0
2019-04-16,10575.62,10575.62,10575.62,10575.62,0
2019-04-17,10600.6,10600.6,10600.6,10600.6,0
2019-04-18,10559.87,10559.87,10559.87,10559.87,0
2019-04-23,10559.2,10559.2,10559.2,10559.2,0
2019-04-24,10569.36,10569.36,10569.36,10569.36,0
2019-04-25,10519.32,10519.32,10519.32,10519.32,0
2019-04-26,10587.13,10587.13,10587.13,10587.13,0
2019-04-29,10560.03,10560.03,10560.03,10560.03,0
2019-04-30,10429.11,10429.11,10429.11,10429.11,0
2019-05-02,10353.51,10353.51,10353.51,10353.51,0
2019-05-06,10238.27,10238.27,10238.27,10238.27,0
2019-05-07,10017.12,10017.12,10017.12,10017.12,0
2019-05-08,9956.73,9956.73,9956.73,9956.73,0
2019-05-09,9799.32,9799.32,9799.32,9799.32,0
2019-05-10,9843.01,9843.01,9843.01,9843.01,0
2019-05-13,9748.33,9748.33,9748.33,9748.33,0
2019-05-14,9710.06,9710.06,9710.06,9710.06,0
2019-05-15,9734.47,9734.47,9734.47,9734.47,0
2019-05-16,9771.2,9771.2,9771.2,9771.2,0
2019-05-17,9753.79,9753.79,9753.79,9753.79,0
2019-05-20,9718.35,9718.35,9718.35,9718.35,0
2019-05-21,9818.96,9818.96,9818.96,9818.96,0
2019-05-22,9923.74,9923.74,9923.74,9923.74,0
2019-05-23,9746.07,9746.07,9746.07,9746.07,0
2019-05-24,9806.25,9806.25,9806.25,9806.25,0
2019-05-27,9815.33,9815.33,9815.33,9815.33,0
2019-05-28,9830.9,9830.9,9830.9,9830.9,0
2019-05-29,9830.31,9830.31,9830.31,9830.31,0
2019-05-30,9964.97,9964.97,9964.97,9964.97,0
2019-05-31,10015.61,10015.61,10015.61,10015.61,0
2019-06-03,10003.76,10003.76,10003.76,10003.76,0
2019-06-04,9991.6,9991.6,9991.6,9991.6,0
2019-06-05,9962.32,9962.32,9962.32,9962.32,0
2019-06-06,10112.44,10112.44,10112.44,10112.44,0
2019-06-07,10211.22,10211.22,10211.22,10211.22,0
2019-06-10,10212.02,10212.02,10212.02,10212.02,0
2019-06-11,10265.94,10265.94,10265.94,10265.94,0
2019-06-12,10217.79,10217.79,10217.79,10217.79,0
2019-06-13,10309.54,10309.54,10309.54,10309.54,0
2019-06-14,10258.11,10258.11,10258.11,10258.11,0
2019-06-17,10212.95,10212.95,10212.95,10212.95,0
2019-06-18,10417.3,10417.3,10417.3,10417.3,0
2019-06-19,10390.9,10390.9,10390.9,10390.9,0
2019-06-21,10327.64,10327.64,10327.64,10327.64,0
2019-06-24,10436.06,10436.06,10436.06,10436.06,0
2019-06-25,10334.01,10334.01,10334.01,10334.01,0
2019-06-26,10396.69,10396.69,10396.69,10396.69,0
2019-06-27,10469.5,10469.5,10469.5,10469.5,0
2019-06-28,10443.7,10443.7,10443.7,10443.7,0
2019-07-01,10466.97,10466.97,10466.97,10466.97,0
2019-07-02,10517.77,10517.77,10517.77,10517.77,0
2019-07-03,10534.71,10534.71,10534.71,10534.71,0
2019-07-04,10565.51,10565.51,10565.51,10565.51,0
2019-07-05,10512.73,10512.73,10512.73,10512.73,0
2019-07-08,10512.25,10512.25,10512.25,10512.25,0
2019-07-09,10441.4,10441.4,10441.4,10441.4,0
2019-07-10,10441.2,10441.2,10441.2,10441.2,0
2019-07-11,10458.32,10458.32,10458.32,10458.32,0
2019-07-12,10445.04,10445.04,10445.04,10445.04,0
2019-07-15,10482.58,10482.58,10482.58,10482.58,0
2019-07-16,10455.08,10455.08,10455.08,10455.08,0
2019-07-17,10387.69,10387.69,10387.69,10387.69,0
2019-07-18,10426.3,10426.3,10426.3,10426.3,0
2019-07-19,10542,10542,10542,10542,0
2019-07-22,10545.41,10545.41,10545.41,10545.41,0
2019-07-23,10506.76,10506.76,10506.76,10506.76,0
2019-07-24,10510.44,10510.44,10510.44,10510.44,0
2019-07-25,10406.06,10406.06,10406.06,10406.06,0
2019-07-26,10386.18,10386.18,10386.18,10386.18,0
2019-07-29,10308.38,10308.38,10308.38,10308.38,0
2019-07-30,10264.88,10264.88,10264.88,10264.88,0
2019-07-31,10297.85,10297.85,10297.85,10297.85,0
2019-08-01,10149.71,10149.71,10149.71,10149.71,0
2019-08-02,10061.34,10061.34,10061.34,10061.34,0
2019-08-05,9843.83,9843.83,9843.83,9843.83,0
2019-08-06,9834.67,9834.67,9834.67,9834.67,0
2019-08-07,9761.72,9761.72,9761.72,9761.72,0
2019-08-08,9842.4,9842.4,9842.4,9842.4,0
2019-08-09,9701.49,9701.49,9701.49,9701.49,0
2019-08-12,9629.14,9629.14,9629.14,9629.14,0
2019-08-13,9829.7,9829.7,9829.7,9829.7,0
2019-08-14,9569.18,9569.18,9569.18,9569.18,0
2019-08-16,9497.63,9497.63,9497.63,9497.63,0
2019-08-19,9650.44,9650.44,9650.44,9650.44,0
2019-08-20,9693.82,9693.82,9693.82,9693.82,0
2019-08-21,9674.3,9674.3,9674.3,9674.3,0
2019-08-22,9682.64,9682.64,9682.64,9682.64,0
2019-08-23,9666.76,9666.76,9666.76,9666.76,0
2019-08-26,9649.03,9649.03,9649.03,9649.03,0
2019-08-27,9642.69,9642.69,9642.69,9642.69,0
2019-08-28,9435.89,9435.89,9435.89,9435.89,0
2019-08-29,9519.25,9519.25,9519.25,9519.25,0
2019-08-30,9790.32,9790.32,9790.32,9790.32,0
2019-09-02,9831.36,9831.36,9831.36,9831.36,0
2019-09-03,9806.48,9806.48,9653.46,9698.52,0
2019-09-04,9754.15,9821.54,9686.06,9686.95,0
2019-09-05,9736.54,9768.29,9643.36,9709.96,31484356
2019-09-06,9721.91,9781.76,9696.71,9750.95,22873176
2019-09-09,9763.68,9946.55,9759.37,9946.55,46435039
2019-09-10,9956.7,9998.55,9931.09,9973.58,40839155
2019-09-11,10002.69,10050.61,9953.8,9983.36,30313270
2019-09-12,10028.22,10053.92,9927.8,9986.4,29963045
2019-09-13,9983.8,10064.48,9983.8,10027.93,21056352
2019-09-16,10000.87,10103.44,9975.47,10103.44,0
2019-09-17,10082.04,10082.04,9965.78,10004.64,46708202
2019-09-18,10009.49,10060.35,9990.58,10055.9,55721294
2019-09-19,10030.5,10030.5,9977.93,10004.38,56013909
2019-09-20,10012.61,10028.3,9853.53,9885.93,79029596
2019-09-23,9880.48,9887.16,9758.01,9785.27,37338101
2019-09-24,9819.44,9922.03,9800.61,9893.2,36096047
2019-09-25,9843.45,9843.45,9770.56,9832.14,31306452
2019-09-26,9836.48,9901.55,9827.71,9892.27,29348918
2019-09-27,9911.55,9966.93,9876.57,9953.4,19664462
2019-09-30,9959.56,9959.56,9847.73,9886.63,24777687
2019-10-01,9869.66,9896.29,9785.4,9797.23,24314030
2019-10-02,9734.42,9767.39,9571.49,9573.04,24375218
2019-10-03,9540.83,9705,9467.86,9545.79,37678772
2019-10-04,9573.15,9650.67,9573.15,9623.34,27055784
2019-10-07,9651.89,9651.89,9577.46,9624.65,19114095
2019-10-08,9651.55,9673.2,9594.04,9667.64,25936124
2019-10-09,9667.62,9696.82,9644.59,9668.65,22536663
2019-10-10,9678.74,9681.22,9598.95,9623.68,24616251
2019-10-11,9660.44,9790.82,9636.71,9788.2,21839066
2019-10-14,9792.87,9801.3,9716.56,9747.85,22620353
2019-10-15,9793.63,9794.66,9742.13,9767.78,27420872
2019-10-16,9766.94,9821.26,9762.66,9784.25,27277452
2019-10-17,9783.55,9890.25,9779.23,9865.15,24888323
2019-10-18,9835.46,9835.46,9768.96,9806,27945676
2019-10-21,9794.79,9873.54,9794.79,9868.45,22086621
2019-10-22,9878.53,9982.59,9846.88,9979.05,30513388
2019-10-23,9959.1,9982.3,9932.95,9974.58,17335613
2019-10-24,9998.45,10013.14,9941.11,9994.42,23414544
2019-10-25,9991.75,9991.75,9855.56,9864.46,25678823
2019-10-28,9872.96,10014.13,9872.96,10010.41,22217462
2019-10-29,10020.93,10068.67,9987.37,10068.67,32215280
2019-10-30,10073.88,10084.13,10043.2,10072.84,22630897
2019-10-31,10106.81,10106.81,9931.83,9953.07,30451640
2019-11-04,10045.25,10225.42,10038.68,10225.42,36630981
2019-11-05,10226.84,10275.62,10203.25,10251.6,33678009
2019-11-06,10220.69,10248.74,10185.05,10185.05,26491350
2019-11-07,10234.78,10265.01,10222.63,10239.48,32207464
2019-11-08,10217.71,10221.54,10161.66,10174.02,39580312
2019-11-12,10184.51,10238.03,10157.34,10170.1,35762558
2019-11-13,10177.92,10177.92,10085.22,10118.05,43344065
2019-11-14,10115.34,10158.53,10061.48,10077.78,32883565
2019-11-15,10087.54,10110.33,10065.59,10106.92,20072339
2019-11-18,10145.83,10150.07,10078.58,10130.59,25224828
2019-11-19,10131.58,10143.39,10034.19,10066.35,30170211
2019-11-20,10032.98,10039.95,9924.91,9984.1,24822604
2019-11-21,9945.75,9948.12,9856.17,9916.45,26957930
2019-11-22,9908.99,10002.54,9908.99,9962.72,28404210
2019-11-25,9995.4,10026.18,9991.99,10014.55,25316266
2019-11-26,10015.35,10019.74,9942.7,9995.11,77152177
2019-11-27,10015.29,10020.12,9938.94,9964.42,22170741
2019-11-28,9950.4,9950.4,9886.55,9923.49,14793882
2019-11-29,9892.42,9935.78,9875.47,9889.89,20294098
2019-12-02,9913.48,9925.56,9766.17,9778.58,36359002
2019-12-03,9769.23,9775.27,9642.67,9651.39,26156914
2019-12-04,9663.71,9747.05,9618.53,9638.96,29867793
2019-12-05,9685.98,9721,9637.91,9694.06,26812994
2019-12-06,9608.69,9649.53,9581.28,9649.53,50543858
2019-12-09,9635,9636.15,9561.98,9618.81,20803684
2019-12-10,9634.7,9634.7,9517.21,9572.5,21975016
2019-12-11,9579.39,9605.81,9500.46,9556.79,27838013
2019-12-12,9589.95,9755.83,9586.13,9755.83,32500008
2019-12-13,9813.61,9843.67,9764.25,9779.85,34079095
2019-12-16,9781.26,9830.58,9777.34,9798.58,26666026
2019-12-17,9813.9,9887.77,9803.23,9870.6,37426466
2019-12-18,9878.71,9883.53,9788.73,9858.65,34908525
2019-12-19,9883.93,9891.51,9850.43,9887.77,26504032
2019-12-20,9864.82,9912.44,9851.22,9871.27,67484724
2019-12-23,9863.22,9932.26,9863.22,9932.26,21307746
2019-12-27,9964.49,10032.94,9962.09,9986.04,16561909
2019-12-30,9992.5,10017.61,9966.4,9980.32,14186203
2020-01-02,10026.18,10188.41,10020.78,10188.41,27087337
2020-01-03,10137.61,10137.61,10033.64,10100.72,26527941
2020-01-07,10098.79,10114.69,10029.98,10040.54,27335025
2020-01-08,10018.17,10018.17,9898.98,9914.88,27581570
2020-01-09,9998.64,10057.52,9980.07,10049.53,27037384
2020-01-10,10084.62,10107.6,10032.21,10107.6,20498345
2020-01-13,10110.61,10200.53,10104.04,10200.53,28416251
2020-01-14,10190.1,10194.71,10127.62,10171.51,35173857
2020-01-15,10163.79,10177.95,10088.22,10099.42,29559837
2020-01-16,10123.43,10157.92,10105.65,10151.88,32343471
2020-01-17,10135.33,10184.09,10076.46,10165.52,26505900
2020-01-20,10172.26,10192.77,10155.67,10172.62,20828516
2020-01-21,10151.28,10151.28,10060.25,10080.12,23426730
2020-01-22,10139.74,10139.74,10028.27,10042,32390144
2020-01-23,10038.85,10074.91,10016.71,10044.92,28220423
2020-01-24,10065.38,10117.94,10058.36,10073.91,22806775
2020-01-27,9986.57,9995.31,9792.78,9799.9,26233174
2020-01-28,9826.77,9873.91,9785.56,9844.33,21552706
2020-01-29,9878.18,9914.73,9827.38,9863.6,30352748
2020-01-30,9771.74,9843.43,9727.03,9800.78,27813866
2020-01-31,9829.63,9829.63,9699,9756.69,44743400
2020-02-03,9730.24,9784.66,9688.92,9767.95,31440418
2020-02-04,9810.14,9944.5,9810.14,9914.17,36781551
2020-02-05,9915.23,10040.15,9899.57,10003.32,26879734
2020-02-06,10048.77,10074.23,9948.74,9959.21,27980474
2020-02-07,9921.95,9951.26,9885.44,9951.26,22633832
2020-02-10,9952.08,9967.33,9868.84,9897.79,19877294
2020-02-11,9934.21,9979.48,9911.01,9956.5,25595040
2020-02-12,9989.51,10040.12,9986.27,10003.15,25374829
2020-02-13,9987.05,9987.05,9871.51,9971.05,22406460
2020-02-14,10009.65,10014.53,9930.25,9948.91,24832477
2020-02-17,10006.32,10006.32,9966.39,9983.76,17316335
2020-02-18,9904.57,9967.37,9904.57,9948.34,17213319
2020-02-19,9970.83,9980.06,9882.29,9968.41,25988832
2020-02-20,9969.53,9979.41,9921.28,9921.64,25892413
2020-02-21,9900.23,9941.04,9860.14,9873.23,20685425
2020-02-24,9770.19,9770.19,9466.02,9476.56,31825081
2020-02-25,9477.18,9496.31,9229.08,9229.08,39795150
2020-02-26,9218.37,9255.26,9047.95,9165.05,42138480
2020-02-27,9128.19,9128.19,8727.32,8797.85,44157844
2020-02-28,8636.71,8636.71,8299.78,8441.12,88926116
2020-03-02,8605.85,8754.76,8455.42,8595.55,50730530
2020-03-03,8676.23,9026.76,8676.23,8961.1,47289566
2020-03-04,8922.93,8972,8841.43,8853.65,33008672
2020-03-05,8931.69,8994.01,8689.65,8705.36,30426161
2020-03-06,8634.96,8634.96,8387.75,8452.47,44226575
2020-03-09,8150.78,8150.78,7745.18,7814.18,51404228
2020-03-10,7873.45,7943.11,7668.96,7697.61,0
2020-03-11,7725.53,7754.95,7225.05,7275.95,59770606
2020-03-12,6991.91,6991.91,6337.72,6337.72,73692498
2020-03-13,6443.58,6890.61,6380.45,6574.9,94250916
2020-03-16,6456.81,6457.68,6034.65,6416.39,78535002
2020-03-17,6535.34,6865.77,6498.13,6816.54,96649872
2020-03-18,6796.37,6967.27,6609.62,6712.67,92135425
2020-03-19,6720.96,7018.33,6665.96,7018.33,61133887
2020-03-20,7146.33,7352.02,7000.01,7020.67,131041415
2020-03-23,6894.98,6894.98,6641.98,6659,51693660
2020-03-24,6857.45,6948.66,6751.56,6846.62,52050176
2020-03-25,6995.34,7097.94,6686.82,6811.55,61792113
2020-03-26,6748.6,7013.41,6702.68,7006.73,47574817
2020-03-27,7026.3,7045.63,6913.89,6953.63,41163763
2020-03-30,6990.54,6995.54,6809.76,6940.23,35703550
2020-03-31,6978.29,7112.96,6967.24,7065.22,68467522
2020-04-01,6983.47,7019.65,6927.05,6954.63,43647717
2020-04-02,6974.75,7003.73,6868.85,6969.35,56765635
2020-04-03,6961.88,7025.7,6903.95,7018.83,61881374
2020-04-06,7144.19,7363.15,7144.19,7354.77,59212748
2020-04-07,7460.86,7695.97,7460.86,7469.38,80609951
2020-04-08,7455.17,7536.96,7325.84,7377.33,0
2020-04-09,7437.79,7546.34,7399.03,7546.34,60473391
2020-04-14,7629.36,7819.51,7617.3,7819.51,58604584
2020-04-15,7846.68,7867.95,7548.33,7556.13,67601769
2020-04-16,7592.88,7608.18,7502.21,7542.83,57493558
2020-04-17,7645.36,7694.64,7608.77,7661.55,53595055
2020-04-20,7686.24,7709.6,7575.36,7697.59,41040006
2020-04-21,7642.11,7642.11,7407.31,7419.41,45788646
2020-04-22,7421.97,7571.7,7342.31,7557.56,41373048
2020-04-23,7597.99,7674.08,7501.48,7674.08,40096154
2020-04-24,7622.14,7674.84,7560.94,7563.3,32574423
2020-04-27,7632.43,7658.77,7479.55,7521.84,43261996
2020-04-28,7525.07,7651.82,7489.89,7528.09,50995838
2020-04-29,7586.26,7798.62,7556.07,7779.44,45426886
2020-04-30,7829.61,7910.77,7724.57,7777.82,56167152
2020-05-04,7695.1,7695.83,7549.69,7568.47,30015903
2020-05-05,7630.31,7630.31,7532.2,7563.05,27750578
2020-05-06,7592.06,7592.06,7415.88,7433.94,42225869
2020-05-07,7474.09,7560.94,7397.5,7503.45,32554710
2020-05-08,7581.06,7616.44,7565.82,7584.43,24875054
2020-05-11,7631.78,7642.31,7488.03,7499.35,26472941
2020-05-12,7503.04,7647.86,7494.69,7643.78,40513333
2020-05-13,7604.81,7688.12,7579.05,7605.1,36381012
2020-05-14,7555.06,7555.06,7359.01,7437.79,37564195
2020-05-15,7490.32,7518.88,7391.66,7406.17,24251968
2020-05-18,7521.23,7667.04,7484.57,7667.04,39224972
2020-05-19,7720.96,7742.74,7635.72,7673.41,32750539
2020-05-20,7660.47,7767.11,7652.83,7726.78,33671919
2020-05-21,7701.41,7741.52,7671.42,7682.75,30828000
2020-05-22,7631.72,7670.57,7592.88,7654.35,30230571
2020-05-25,7701.24,7751.08,7669.08,7736.61,20028067
2020-05-26,7813.27,8014.47,7799.37,8007.6,77243833
2020-05-27,8022.06,8240.38,8000.35,8009.49,80100099
2020-05-28,8101.04,8223.08,7951.01,8048.92,78412023
2020-05-29,8032.45,8052.17,7960.39,8038.62,158371570
2020-06-01,8100.41,8170.12,8063.08,8113.79,50951427
2020-06-02,8125.76,8153.06,8086.2,8149.57,61133782
2020-06-03,8191.16,8361.32,8186.44,8306.39,79026019
