"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"22/03/2024,""1.8094"",""1.8010"",""1.8107"",""1.7994"","""",""0.48%"""
"21/03/2024,""1.8008"",""1.7908"",""1.8019"",""1.7872"","""",""0.58%"""
"20/03/2024,""1.7905"",""1.8000"",""1.8051"",""1.7904"","""",""-0.49%"""
"19/03/2024,""1.7994"",""1.7988"",""1.8053"",""1.7980"","""",""0.06%"""
"18/03/2024,""1.7984"",""1.7967"",""1.8001"",""1.7902"","""",""0.14%"""
"15/03/2024,""1.7959"",""1.7972"",""1.7990"",""1.7941"","""",""-0.06%"""
"14/03/2024,""1.7969"",""1.7866"",""1.7977"",""1.7852"","""",""0.59%"""
"13/03/2024,""1.7864"",""1.7901"",""1.7912"",""1.7838"","""",""-0.18%"""
"12/03/2024,""1.7897"",""1.7900"",""1.7941"",""1.7871"","""",""0.00%"""
"11/03/2024,""1.7897"",""1.7881"",""1.7922"",""1.7864"","""",""0.09%"""
"08/03/2024,""1.7881"",""1.7865"",""1.7910"",""1.7810"","""",""0.11%"""
"07/03/2024,""1.7861"",""1.7944"",""1.7997"",""1.7860"","""",""-0.45%"""
"06/03/2024,""1.7942"",""1.8015"",""1.8040"",""1.7917"","""",""-0.38%"""
"05/03/2024,""1.8011"",""1.8027"",""1.8045"",""1.7982"","""",""-0.16%"""
"04/03/2024,""1.8039"",""1.8045"",""1.8045"",""1.8045"","""",""-0.01%"""
"01/03/2024,""1.8041"",""1.8101"",""1.8113"",""1.8036"","""",""-0.31%"""
"29/02/2024,""1.8098"",""1.8045"",""1.8118"",""1.8015"","""",""0.32%"""
"28/02/2024,""1.8041"",""1.8032"",""1.8117"",""1.8029"","""",""0.05%"""
"27/02/2024,""1.8032"",""1.8024"",""1.8056"",""1.7997"","""",""0.06%"""
"26/02/2024,""1.8021"",""1.8070"",""1.8073"",""1.8008"","""",""-0.26%"""
"23/02/2024,""1.8068"",""1.8068"",""1.8090"",""1.8041"","""",""0.01%"""
"22/02/2024,""1.8067"",""1.8078"",""1.8105"",""1.7961"","""",""-0.04%"""
"21/02/2024,""1.8074"",""1.8101"",""1.8128"",""1.8067"","""",""-0.10%"""
"20/02/2024,""1.8092"",""1.8144"",""1.8175"",""1.8044"","""",""-0.28%"""
"19/02/2024,""1.8143"",""1.8140"",""1.8175"",""1.8125"","""",""-0.02%"""
"16/02/2024,""1.8146"",""1.8154"",""1.8226"",""1.8129"","""",""-0.03%"""
"15/02/2024,""1.8151"",""1.8233"",""1.8239"",""1.8133"","""",""-0.42%"""
"14/02/2024,""1.8227"",""1.8261"",""1.8290"",""1.8218"","""",""-0.17%"""
"13/02/2024,""1.8258"",""1.8157"",""1.8280"",""1.8116"","""",""0.59%"""
"12/02/2024,""1.8151"",""1.8137"",""1.8184"",""1.8099"","""",""0.13%"""
"09/02/2024,""1.8128"",""1.8146"",""1.8175"",""1.8117"","""",""-0.08%"""
