"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"03/08/2024,""311.72"",""314.20"",""314.20"",""311.72"","""",""0.00%"""
"03/07/2024,""311.72"",""311.72"",""311.72"",""310.23"","""",""0.84%"""
"03/06/2024,""309.11"",""309.11"",""309.11"",""309.11"","""",""0.00%"""
"03/05/2024,""309.11"",""310.18"",""310.18"",""309.11"","""",""-0.48%"""
"03/04/2024,""310.60"",""310.60"",""310.60"",""310.60"","""",""0.16%"""
"03/01/2024,""310.10"",""310.10"",""310.10"",""310.10"","""",""0.00%"""
"02/29/2024,""310.10"",""312.17"",""312.17"",""310.10"","""",""-0.48%"""
"02/28/2024,""311.59"",""311.59"",""311.59"",""311.59"","""",""0.00%"""
"02/27/2024,""311.59"",""314.08"",""314.08"",""311.59"","""",""-0.79%"""
"02/23/2024,""314.08"",""314.08"",""314.08"",""314.08"","""",""0.00%"""
"02/22/2024,""314.08"",""314.08"",""314.08"",""314.08"","""",""0.16%"""
"02/21/2024,""313.58"",""313.58"",""313.58"",""313.58"","""",""0.00%"""
"02/20/2024,""313.58"",""313.58"",""313.58"",""313.58"","""",""-0.16%"""
"02/19/2024,""314.08"",""314.08"",""314.08"",""314.08"","""",""0.32%"""
"02/16/2024,""313.08"",""313.08"",""313.08"",""313.08"","""",""0.00%"""
"02/15/2024,""313.08"",""313.08"",""313.08"",""313.08"","""",""0.00%"""
"02/14/2024,""313.08"",""313.08"",""313.08"",""313.08"","""",""0.00%"""
"02/13/2024,""313.08"",""313.08"",""313.08"",""313.08"","""",""-0.32%"""
"02/12/2024,""314.08"",""315.41"",""315.41"",""312.93"","""",""-0.42%"""
"02/09/2024,""315.41"",""315.41"",""315.41"",""315.41"","""",""1.05%"""
"02/08/2024,""312.13"",""312.13"",""312.13"",""312.13"","""",""0.00%"""
"02/07/2024,""312.13"",""312.13"",""312.13"",""312.13"","""",""0.00%"""
"02/06/2024,""312.13"",""312.13"",""312.13"",""312.13"","""",""1.45%"""
"02/05/2024,""307.66"",""307.66"",""307.66"",""307.66"","""",""-0.37%"""
"02/02/2024,""308.80"",""308.31"",""308.80"",""308.31"","""",""0.16%"""
"02/01/2024,""308.31"",""308.31"",""308.31"",""308.31"","""",""0.00%"""
"01/31/2024,""308.31"",""308.84"",""308.84"",""308.31"","""",""-0.17%"""
"01/30/2024,""308.84"",""308.84"",""308.84"",""308.84"","""",""0.00%"""
"01/29/2024,""308.84"",""308.84"",""308.84"",""308.84"","""",""0.00%"""
"01/26/2024,""308.84"",""308.84"",""308.84"",""308.84"","""",""0.57%"""
"01/25/2024,""307.09"",""307.09"",""307.09"",""307.09"","""",""-0.69%"""
"01/24/2024,""309.21"",""309.21"",""309.21"",""309.21"","""",""0.52%"""
"01/23/2024,""307.62"",""307.62"",""307.62"",""307.62"","""",""-0.17%"""
"01/22/2024,""308.15"",""308.68"",""308.68"",""308.15"","""",""-1.69%"""
"01/19/2024,""313.46"",""313.46"",""313.46"",""313.46"","""",""-0.69%"""
"01/18/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.00%"""
"01/17/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.00%"""
"01/16/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.00%"""
"01/15/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.00%"""
"01/12/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.00%"""
"01/11/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.00%"""
"01/10/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.00%"""
"01/09/2024,""315.64"",""315.64"",""315.64"",""315.64"","""",""0.75%"""
"01/08/2024,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"01/05/2024,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"01/04/2024,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"01/03/2024,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"01/02/2024,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"12/29/2023,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"12/28/2023,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"12/27/2023,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"12/22/2023,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"12/21/2023,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"12/20/2023,""313.30"",""313.30"",""313.30"",""313.30"","""",""0.00%"""
"12/19/2023,""313.30"",""313.30"",""313.30"",""313.30"","""",""-0.67%"""
"12/18/2023,""315.42"",""315.42"",""315.42"",""315.42"","""",""0.00%"""
"12/15/2023,""315.42"",""315.42"",""315.42"",""315.42"","""",""0.00%"""
"12/14/2023,""315.42"",""315.42"",""315.42"",""315.42"","""",""0.00%"""
"12/13/2023,""315.42"",""315.42"",""315.42"",""315.42"","""",""0.00%"""
"12/12/2023,""315.42"",""315.42"",""315.42"",""315.42"","""",""0.34%"""
"12/11/2023,""314.36"",""312.24"",""314.36"",""312.24"","""",""0.68%"""
"12/08/2023,""312.24"",""312.24"",""312.24"",""312.24"","""",""0.00%"""
"12/07/2023,""312.24"",""312.24"",""312.24"",""312.24"","""",""0.00%"""
"12/06/2023,""312.24"",""312.24"",""312.24"",""312.24"","""",""0.00%"""
"12/05/2023,""312.24"",""312.24"",""312.24"",""312.24"","""",""1.91%"""
"12/04/2023,""306.40"",""306.40"",""306.40"",""306.40"","""",""-0.34%"""
"12/01/2023,""307.46"",""307.46"",""307.46"",""307.46"","""",""0.00%"""
"11/30/2023,""307.46"",""307.46"",""307.46"",""307.46"","""",""0.00%"""
"11/29/2023,""307.46"",""307.46"",""307.46"",""307.46"","""",""0.00%"""
"11/28/2023,""307.46"",""307.46"",""307.46"",""307.46"","""",""0.00%"""
"11/27/2023,""307.46"",""307.46"",""307.46"",""307.46"","""",""-1.20%"""
"11/24/2023,""311.18"",""311.18"",""311.18"",""311.18"","""",""0.00%"""
"11/23/2023,""311.18"",""311.18"",""311.18"",""311.18"","""",""0.00%"""
"11/22/2023,""311.18"",""311.18"",""311.18"",""311.18"","""",""-2.67%"""
"11/21/2023,""319.73"",""319.73"",""319.73"",""319.73"","""",""0.00%"""
"11/20/2023,""319.73"",""319.73"",""319.73"",""319.73"","""",""0.00%"""
"11/16/2023,""319.73"",""319.73"",""319.73"",""319.73"","""",""-0.18%"""
"11/15/2023,""320.31"",""320.31"",""320.31"",""320.31"","""",""-0.88%"""
"11/14/2023,""323.16"",""323.16"",""323.16"",""323.16"","""",""0.00%"""
"11/13/2023,""323.16"",""323.16"",""323.16"",""323.16"","""",""0.00%"""
"11/10/2023,""323.16"",""323.16"",""323.16"",""323.16"","""",""0.00%"""
"11/09/2023,""323.16"",""323.16"",""323.16"",""323.16"","""",""0.00%"""
"11/08/2023,""323.16"",""323.16"",""323.16"",""323.16"","""",""-0.18%"""
"11/07/2023,""323.75"",""323.75"",""323.75"",""323.75"","""",""0.00%"""
"11/06/2023,""323.75"",""323.75"",""323.75"",""323.75"","""",""0.00%"""
"11/03/2023,""323.75"",""323.75"",""323.75"",""323.75"","""",""0.00%"""
"11/02/2023,""323.75"",""323.75"",""323.75"",""323.75"","""",""0.00%"""
"10/31/2023,""323.75"",""323.75"",""323.75"",""323.75"","""",""-1.93%"""
"10/30/2023,""330.12"",""330.65"",""332.78"",""330.12"","""",""-0.80%"""
"10/27/2023,""332.78"",""330.12"",""332.78"",""330.12"","""",""0.00%"""
"10/26/2023,""332.78"",""330.65"",""332.78"",""330.12"","""",""0.97%"""
"10/25/2023,""329.59"",""329.59"",""329.59"",""329.59"","""",""-0.32%"""
"10/24/2023,""330.65"",""330.17"",""331.24"",""329.59"","""",""0.15%"""
"10/23/2023,""330.17"",""330.71"",""331.24"",""330.17"","""",""0.00%"""
"10/20/2023,""330.17"",""330.17"",""330.17"",""330.17"","""",""-0.15%"""
"10/19/2023,""330.65"",""330.65"",""330.65"",""330.65"","""",""0.32%"""
"10/18/2023,""329.59"",""329.59"",""330.65"",""329.59"","""",""0.00%"""
"10/17/2023,""329.59"",""329.59"",""329.59"",""329.59"","""",""0.00%"""
"10/16/2023,""329.59"",""330.65"",""330.65"",""329.59"","""",""-0.32%"""
"10/13/2023,""330.65"",""329.59"",""330.65"",""329.59"","""",""0.00%"""
"10/12/2023,""330.65"",""330.65"",""330.65"",""330.65"","""",""0.00%"""
