"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"03/26/2024,""65,005.38"",""65,095.10"",""65,381.36"",""65,005.38"","""",""-0.14%"""
"03/25/2024,""65,095.72"",""65,237.19"",""65,562.25"",""64,923.04"","""",""-0.22%"""
"03/22/2024,""65,236.93"",""65,842.22"",""65,990.59"",""65,236.93"","""",""-0.92%"""
"03/21/2024,""65,841.44"",""65,981.88"",""66,276.46"",""65,600.40"","""",""-0.21%"""
"03/20/2024,""65,982.86"",""65,933.87"",""66,182.20"",""65,721.34"","""",""0.07%"""
"03/19/2024,""65,933.87"",""65,449.80"",""65,992.00"",""65,415.06"","""",""0.74%"""
"03/18/2024,""65,450.33"",""64,986.30"",""65,606.69"",""64,943.57"","""",""0.71%"""
"03/14/2024,""64,988.33"",""65,600.36"",""66,048.78"",""64,973.65"","""",""-0.93%"""
"03/13/2024,""65,600.63"",""66,454.95"",""66,582.72"",""65,598.92"","""",""-1.29%"""
"03/12/2024,""66,455.07"",""65,600.63"",""66,457.21"",""65,578.19"","""",""1.30%"""
"03/11/2024,""65,599.49"",""66,094.23"",""66,198.67"",""65,306.81"","""",""-0.75%"""
"03/08/2024,""66,093.62"",""66,201.41"",""66,591.27"",""65,804.69"","""",""-0.16%"""
"03/07/2024,""66,201.33"",""65,987.22"",""66,209.13"",""65,766.93"","""",""0.33%"""
"03/06/2024,""65,986.52"",""65,840.02"",""66,106.94"",""65,803.76"","""",""0.22%"""
"03/05/2024,""65,840.02"",""66,319.05"",""66,407.97"",""65,837.89"","""",""-0.72%"""
"03/04/2024,""66,319.50"",""66,169.20"",""66,693.91"",""66,150.82"","""",""0.23%"""
"03/01/2024,""66,169.03"",""65,938.76"",""66,388.51"",""65,899.62"","""",""0.35%"""
"02/29/2024,""65,938.65"",""66,079.62"",""66,501.09"",""65,809.65"","""",""-0.21%"""
"02/28/2024,""66,080.19"",""65,541.72"",""66,133.58"",""65,491.89"","""",""0.82%"""
"02/27/2024,""65,541.56"",""66,037.41"",""66,291.33"",""65,410.95"","""",""-0.75%"""
